ID,Prob1
0, 0.37
1, 0.33
2, 0.45
3, 0.22
4, 0.23
5, 0.28
6, 0.32
7, 0.69
8, 0.74
9, 0.19
10, 0.29
11, 0.28
12, 0.40
13, 0.63
14, 0.32
15, 0.24
16, 0.28
17, 0.20
18, 0.18
19, 0.41
20, 0.33
21, 0.23
22, 0.32
23, 0.30
24, 0.27
25, 0.42
26, 0.41
27, 0.17
28, 0.23
29, 0.80
30, 0.11
31, 0.22
32, 0.20
33, 0.24
34, 0.52
35, 0.48
36, 0.25
37, 0.46
38, 0.46
39, 0.43
40, 0.27
41, 0.15
42, 0.28
43, 0.41
44, 0.42
45, 0.38
46, 0.26
47, 0.58
48, 0.32
49, 0.38
50, 0.69
51, 0.26
52, 0.36
53, 0.23
54, 0.53
55, 0.17
56, 0.60
57, 0.21
58, 0.28
59, 0.23
60, 0.35
61, 0.47
62, 0.25
63, 0.19
64, 0.20
65, 0.24
66, 0.69
67, 0.18
68, 0.21
69, 0.21
70, 0.82
71, 0.86
72, 0.31
73, 0.30
74, 0.16
75, 0.48
76, 0.18
77, 0.45
78, 0.19
79, 0.34
80, 0.31
81, 0.17
82, 0.28
83, 0.30
84, 0.38
85, 0.25
86, 0.52
87, 0.30
88, 0.18
89, 0.52
90, 0.18
91, 0.25
92, 0.24
93, 0.49
94, 0.17
95, 0.23
96, 0.37
97, 0.15
98, 0.19
99, 0.54
100, 0.11
101, 0.56
102, 0.35
103, 0.20
104, 0.24
105, 0.24
106, 0.31
107, 0.24
108, 0.26
109, 0.32
110, 0.39
111, 0.24
112, 0.16
113, 0.33
114, 0.61
115, 0.16
116, 0.17
117, 0.32
118, 0.33
119, 0.28
120, 0.19
121, 0.46
122, 0.69
123, 0.45
124, 0.20
125, 0.34
126, 0.42
127, 0.28
128, 0.29
129, 0.16
130, 0.38
131, 0.52
132, 0.21
133, 0.32
134, 0.17
135, 0.32
136, 0.23
137, 0.13
138, 0.32
139, 0.11
140, 0.20
141, 0.28
142, 0.54
143, 0.17
144, 0.29
145, 0.19
146, 0.40
147, 0.22
148, 0.28
149, 0.47
150, 0.48
151, 0.24
152, 0.43
153, 0.17
154, 0.70
155, 0.27
156, 0.33
157, 0.24
158, 0.17
159, 0.26
160, 0.37
161, 0.16
162, 0.31
163, 0.25
164, 0.13
165, 0.39
166, 0.20
167, 0.34
168, 0.20
169, 0.14
170, 0.17
171, 0.41
172, 0.18
173, 0.53
174, 0.34
175, 0.27
176, 0.24
177, 0.24
178, 0.60
179, 0.17
180, 0.53
181, 0.73
182, 0.19
183, 0.18
184, 0.69
185, 0.27
186, 0.57
187, 0.77
188, 0.27
189, 0.25
190, 0.90
191, 0.31
192, 0.54
193, 0.24
194, 0.23
195, 0.37
196, 0.13
197, 0.30
198, 0.29
199, 0.20
200, 0.17
201, 0.22
202, 0.82
203, 0.17
204, 0.33
205, 0.18
206, 0.20
207, 0.33
208, 0.27
209, 0.61
210, 0.28
211, 0.38
212, 0.35
213, 0.47
214, 0.34
215, 0.21
216, 0.43
217, 0.24
218, 0.16
219, 0.38
220, 0.27
221, 0.33
222, 0.16
223, 0.51
224, 0.38
225, 0.25
226, 0.45
227, 0.36
228, 0.46
229, 0.17
230, 0.31
231, 0.66
232, 0.33
233, 0.35
234, 0.26
235, 0.41
236, 0.29
237, 0.44
238, 0.64
239, 0.38
240, 0.45
241, 0.23
242, 0.19
243, 0.15
244, 0.29
245, 0.20
246, 0.17
247, 0.67
248, 0.44
249, 0.19
250, 0.84
251, 0.25
252, 0.11
253, 0.19
254, 0.35
255, 0.15
256, 0.43
257, 0.23
258, 0.82
259, 0.25
260, 0.65
261, 0.37
262, 0.29
263, 0.15
264, 0.23
265, 0.21
266, 0.20
267, 0.29
268, 0.18
269, 0.47
270, 0.13
271, 0.14
272, 0.17
273, 0.26
274, 0.57
275, 0.33
276, 0.75
277, 0.78
278, 0.28
279, 0.19
280, 0.74
281, 0.24
282, 0.17
283, 0.27
284, 0.29
285, 0.51
286, 0.42
287, 0.42
288, 0.22
289, 0.26
290, 0.21
291, 0.33
292, 0.22
293, 0.31
294, 0.23
295, 0.14
296, 0.35
297, 0.12
298, 0.28
299, 0.75
300, 0.32
301, 0.28
302, 0.59
303, 0.49
304, 0.20
305, 0.50
306, 0.35
307, 0.25
308, 0.18
309, 0.70
310, 0.31
311, 0.22
312, 0.38
313, 0.25
314, 0.65
315, 0.43
316, 0.11
317, 0.42
318, 0.35
319, 0.42
320, 0.27
321, 0.43
322, 0.26
323, 0.29
324, 0.25
325, 0.32
326, 0.38
327, 0.43
328, 0.25
329, 0.18
330, 0.19
331, 0.48
332, 0.36
333, 0.23
334, 0.37
335, 0.22
336, 0.30
337, 0.88
338, 0.38
339, 0.30
340, 0.49
341, 0.20
342, 0.12
343, 0.07
344, 0.28
345, 0.65
346, 0.57
347, 0.07
348, 0.17
349, 0.48
350, 0.15
351, 0.31
352, 0.17
353, 0.47
354, 0.32
355, 0.19
356, 0.13
357, 0.43
358, 0.25
359, 0.20
360, 0.27
361, 0.15
362, 0.16
363, 0.47
364, 0.26
365, 0.71
366, 0.27
367, 0.45
368, 0.20
369, 0.34
370, 0.20
371, 0.24
372, 0.25
373, 0.19
374, 0.39
375, 0.27
376, 0.49
377, 0.19
378, 0.53
379, 0.21
380, 0.51
381, 0.13
382, 0.33
383, 0.77
384, 0.28
385, 0.38
386, 0.38
387, 0.30
388, 0.22
389, 0.27
390, 0.15
391, 0.21
392, 0.64
393, 0.28
394, 0.42
395, 0.24
396, 0.62
397, 0.28
398, 0.23
399, 0.79
400, 0.36
401, 0.30
402, 0.09
403, 0.21
404, 0.34
405, 0.23
406, 0.48
407, 0.38
408, 0.30
409, 0.26
410, 0.12
411, 0.26
412, 0.47
413, 0.39
414, 0.27
415, 0.25
416, 0.30
417, 0.22
418, 0.21
419, 0.51
420, 0.41
421, 0.20
422, 0.33
423, 0.22
424, 0.31
425, 0.46
426, 0.20
427, 0.38
428, 0.18
429, 0.09
430, 0.38
431, 0.57
432, 0.18
433, 0.19
434, 0.60
435, 0.29
436, 0.41
437, 0.47
438, 0.29
439, 0.19
440, 0.31
441, 0.26
442, 0.62
443, 0.29
444, 0.19
445, 0.22
446, 0.58
447, 0.23
448, 0.88
449, 0.27
450, 0.27
451, 0.68
452, 0.40
453, 0.55
454, 0.34
455, 0.18
456, 0.66
457, 0.49
458, 0.39
459, 0.25
460, 0.63
461, 0.22
462, 0.25
463, 0.22
464, 0.29
465, 0.19
466, 0.27
467, 0.36
468, 0.26
469, 0.33
470, 0.28
471, 0.32
472, 0.22
473, 0.37
474, 0.36
475, 0.34
476, 0.21
477, 0.34
478, 0.26
479, 0.23
480, 0.19
481, 0.29
482, 0.41
483, 0.40
484, 0.19
485, 0.82
486, 0.77
487, 0.51
488, 0.35
489, 0.54
490, 0.22
491, 0.40
492, 0.09
493, 0.18
494, 0.45
495, 0.39
496, 0.81
497, 0.63
498, 0.77
499, 0.55
500, 0.43
501, 0.32
502, 0.27
503, 0.28
504, 0.54
505, 0.19
506, 0.40
507, 0.09
508, 0.29
509, 0.38
510, 0.44
511, 0.20
512, 0.31
513, 0.09
514, 0.35
515, 0.65
516, 0.22
517, 0.56
518, 0.38
519, 0.84
520, 0.56
521, 0.27
522, 0.31
523, 0.60
524, 0.22
525, 0.67
526, 0.28
527, 0.31
528, 0.49
529, 0.25
530, 0.18
531, 0.38
532, 0.34
533, 0.26
534, 0.72
535, 0.36
536, 0.32
537, 0.26
538, 0.24
539, 0.48
540, 0.18
541, 0.09
542, 0.65
543, 0.54
544, 0.16
545, 0.54
546, 0.37
547, 0.13
548, 0.41
549, 0.12
550, 0.52
551, 0.30
552, 0.59
553, 0.20
554, 0.32
555, 0.16
556, 0.26
557, 0.25
558, 0.25
559, 0.27
560, 0.29
561, 0.25
562, 0.15
563, 0.22
564, 0.25
565, 0.21
566, 0.20
567, 0.39
568, 0.28
569, 0.17
570, 0.34
571, 0.24
572, 0.20
573, 0.43
574, 0.36
575, 0.23
576, 0.20
577, 0.44
578, 0.35
579, 0.40
580, 0.60
581, 0.21
582, 0.54
583, 0.33
584, 0.21
585, 0.19
586, 0.61
587, 0.51
588, 0.24
589, 0.70
